IP,MAC,Status,Miner Type,Miner Model,Miner Brand,Logical Zone,Customer,Real-time Power,Real-time Power Unit,ControlBoard Sn,hashBoard SN,PSU SN,Real-time Hashrate,AVG Hashrate,Theoretical Hashrate,Hashrate unit,Factory Hashrate,Hashrate unit,HashBoard Status,HashBoard Hashrate,HashBoard Hashrate1,HashBoard Hashrate2,HashBoard Hashrate3,HashBoard Hashrate4,HashBoard Frequency,Chip Status,Temperature,Fan Speed,Work Mode,PowerType,Firmware Version,Pool 1,Pool 1 Status,Sub-account 1,Pool 2,Pool 2 Status,Sub-account 2,Pool 3,Pool 3 Status,Sub-account 1,Uptime (Second),Last Update,Remarks,Original Type
10.17.1.21,50:d4:48:4b:6d:c7,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3848,W,S127200251900181,"[""S124600251910246"",""S124600251909807"",""S124600251910240""]",1Z251702297,231.44,231.29,236.55,T,220.0,T,"[3,3]","[75.34(1),81.38(2),74.75(3)]",75.34,81.38,74.75,,"[362,388,359]","[459,459]","[68,70,69]","[4200,4234,4204,4170]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x21,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x21,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x21,29443,2025-08-20 09:07:10,,A2
10.17.1.22,50:d4:48:4b:76:95,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,2568,W,S127200251900229,"[""S124600251903073"",""S124600251902271""]",1Z251700082,154.5,154.21,157.83,T,220.0,T,"[2,3]","[77.33(1),77.16(2)]",77.33,77.16,,,"[370,370]","[306,459]","[70,66]","[4530,4530,4500,4500]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x22,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x22,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x22,29494,2025-08-20 09:07:10,,A2
10.17.1.23,50:d4:48:4b:72:32,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3784,W,S127200251902831,"[""S124600251912189"",""S124600251915429"",""S124600251915465""]",1Z250101728,230.05,229.63,235.08,T,220.0,T,"[3,3]","[76.47(1),78.0(2),75.58(3)]",76.47,78.0,75.58,,"[367,373,362]","[459,459]","[68,70,68]","[3903,3873,3933,3903]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x23,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x23,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x23,29422,2025-08-20 09:07:10,,A2
10.17.1.24,50:d4:48:4b:68:c4,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3712,W,S127200251901849,"[""S124600251910255"",""S124600251909800"",""S124600251910147""]",1Z251700694,224.51,223.8,228.89,T,220.0,T,"[3,3]","[75.32(1),74.21(2),74.98(3)]",75.32,74.21,74.98,,"[359,355,359]","[459,459]","[68,70,70]","[4110,4110,4110,4084]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x24,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x24,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x24,29406,2025-08-20 09:07:10,,A2
10.17.1.25,50:d4:48:4b:78:c8,Online,A2,A2-228T,SealMiner,Gamma,Bitdeer-Seal,4016,W,S127200251904830,"[""S124600251908837"",""S124600251909136"",""S124600251909303""]",1Z250100453,237.76,237.3,243.4,T,228.0,T,"[3,3]","[77.25(1),83.26(2),77.27(3)]",77.25,83.26,77.27,,"[372,398,371]","[459,459]","[64,70,69]","[5250,5225,5250,5250]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x25,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x25,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x25,29392,2025-08-20 09:07:10,,A2
10.17.1.26,50:d4:48:4b:71:6d,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3732,W,S127200251901385,"[""S124600251902146"",""S124600251902032"",""S124600251902029""]",1Z251700863,228.23,227.88,231.94,T,220.0,T,"[3,3]","[74.22(1),76.97(2),77.06(3)]",74.22,76.97,77.06,,"[355,366,367]","[459,459]","[70,69,69]","[4080,4054,4050,4050]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x26,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x26,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x26,29402,2025-08-20 09:07:10,,A2
10.17.1.27,50:d4:48:4b:70:4f,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3664,W,S127200251904391,"[""S124600251903991"",""S124600251904967"",""S124600251903319""]",1Z251700966,222.7,222.25,227.3,T,220.0,T,"[3,3]","[75.04(1),75.51(2),72.16(3)]",75.04,75.51,72.16,,"[359,360,346]","[459,459]","[70,69,68]","[4024,4050,4054,4050]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x27,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x27,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x27,29384,2025-08-20 09:07:10,,A2
10.17.1.28,50:d4:48:4b:77:84,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,2516,W,S127200251901768,"[""S124600251902270"",""S124600251902464""]",1Z251700304,151.47,150.42,154.28,T,220.0,T,"[2,3]","[73.67(1),77.82(3)]",73.67,,77.82,,"[353,371]","[306,459]","[58,70]","[5130,5105,5100,5105]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x28,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x28,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x28,29455,2025-08-20 09:07:10,,A2
10.17.1.29,50:d4:48:4b:72:5f,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3816,W,S127200251901355,"[""S124600251903757"",""S124600251903147"",""S124600251903148""]",1Z251700868,227.0,226.56,232.51,T,220.0,T,"[3,3]","[74.78(1),75.11(2),77.11(3)]",74.78,75.11,77.11,,"[359,361,370]","[459,459]","[61,64,70]","[4804,4834,4804,4804]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x29,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x29,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x29,29389,2025-08-20 09:07:10,,A2
10.17.1.30,50:d4:48:4b:72:1c,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3652,W,S127200251903777,"[""S124600251915491"",""S124600251915683"",""S124600251915620""]",1Z250101642,222.58,222.57,228.16,T,220.0,T,"[3,3]","[70.84(1),74.53(2),77.23(3)]",70.84,74.53,77.23,,"[342,356,371]","[459,459]","[61,65,70]","[4350,4354,4384,4384]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x30,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x30,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x30,29348,2025-08-20 09:07:10,,A2
10.17.1.31,50:d4:48:4b:70:a3,Online,A2,A2-228T,SealMiner,Gamma,Bitdeer-Seal,3792,W,S127200251901533,"[""S124600251902402"",""S124600251902154"",""S124600251902329""]",1Z251700578,230.41,229.67,234.6,T,228.0,T,"[3,3]","[78.08(1),77.42(2),74.91(3)]",78.08,77.42,74.91,,"[373,370,358]","[459,459]","[70,70,68]","[3963,3960,3963,3933]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x31,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x31,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x31,29357,2025-08-20 09:07:10,,A2
10.17.1.32,50:d4:48:4b:69:41,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3756,W,S127200251901844,"[""S124600251915218"",""S124600251915547"",""S124600251915399""]",1Z251700585,227.62,227.12,232.48,T,220.0,T,"[3,3]","[77.69(1),75.62(2),74.32(3)]",77.69,75.62,74.32,,"[371,362,356]","[459,459]","[70,67,65]","[4410,4410,4410,4410]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x32,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x32,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x32,29356,2025-08-20 09:07:10,,A2
